Year in School,Score
Senior+,2
Sophomore,8
Junior,4
Senior+,2
Senior+,13
Senior+,0
Senior+,0
Junior,6
Senior+,1
Senior+,4
Senior+,0
Junior,10
Senior+,1
Senior+,4
Senior+,3
Senior+,3
Senior+,0
Senior+,2
Senior+,3
Junior,1
Senior+,5
Senior+,0
Senior+,4
Junior,2
