"year","score"
"sophomore",2
"sophomore",9
"sophomore",8
"sophomore",5
"sophomore",10
"junior",10
"junior",12
"junior",9
"junior",5
"junior",9
"senior",3
"senior",3
"senior",3
"senior",4
"senior",5
